,inference
488,entailment
489,entailment
490,entailment
491,entailment
492,entailment
493,entailment
494,entailment
495,neutral
496,neutral
497,neutral
498,neutral
499,neutral
500,neutral
501,neutral
502,neutral
503,neutral
504,neutral
505,neutral
506,neutral
507,neutral
508,neutral
509,neutral
510,neutral
511,neutral
512,neutral
513,neutral
514,neutral
515,neutral
516,neutral
517,neutral
518,neutral
519,neutral
520,neutral
521,entailment
522,neutral
523,neutral
524,neutral
525,neutral
526,neutral
527,entailment
528,neutral
529,neutral
530,neutral
531,neutral
532,neutral
533,neutral
534,neutral
535,neutral
536,neutral
537,neutral
538,neutral
539,neutral
540,neutral
541,neutral
542,neutral
543,neutral
544,neutral
545,entailment
546,neutral
547,contradiction
548,neutral
549,neutral
550,entailment
551,entailment
552,contradiction
553,entailment
554,contradiction
555,contradiction
556,entailment
557,entailment
558,entailment
559,neutral
560,entailment
561,entailment
562,entailment
563,neutral
564,entailment
565,neutral
566,entailment
567,neutral
568,contradiction
569,neutral
570,neutral
571,contradiction
572,neutral
573,entailment
574,contradiction
575,entailment
576,neutral
577,contradiction
578,entailment
579,neutral
580,entailment
581,contradiction
582,entailment
583,neutral
584,contradiction
585,contradiction
586,contradiction
587,entailment
588,entailment
589,entailment
590,contradiction
591,entailment
592,entailment
593,entailment
594,neutral
595,entailment
596,neutral
597,neutral
598,contradiction
599,entailment
600,entailment
601,entailment
602,entailment
603,contradiction
604,entailment
605,entailment
606,entailment
607,neutral
608,entailment
609,contradiction
610,entailment
611,neutral
612,entailment
613,neutral
614,entailment
615,neutral
616,contradiction
617,neutral
618,neutral
619,entailment
620,neutral
621,entailment
622,entailment
623,entailment
624,neutral
625,entailment
626,contradiction
627,neutral
628,entailment
629,contradiction
630,contradiction
631,neutral
632,entailment
633,entailment
634,entailment
635,entailment
636,entailment
637,entailment
638,entailment
639,entailment
640,entailment
641,entailment
642,neutral
643,neutral
644,neutral
645,neutral
646,neutral
647,neutral
648,neutral
649,neutral
650,neutral
651,neutral
652,neutral
653,neutral
654,neutral
655,neutral
656,neutral
657,neutral
658,entailment
659,neutral
660,neutral
661,neutral
662,neutral
663,neutral
664,neutral
665,neutral
666,neutral
667,neutral
668,neutral
669,neutral
670,neutral
671,neutral
672,neutral
673,neutral
674,neutral
675,neutral
676,neutral
677,neutral
678,neutral
679,neutral
680,neutral
681,neutral
682,neutral
683,neutral
684,neutral
685,neutral
686,neutral
687,neutral
688,neutral
689,neutral
690,neutral
691,contradiction
692,entailment
693,entailment
694,entailment
695,entailment
696,contradiction
697,entailment
698,contradiction
699,contradiction
700,neutral
701,entailment
702,contradiction
703,entailment
704,neutral
705,entailment
706,neutral
707,entailment
708,neutral
709,contradiction
710,neutral
711,neutral
712,entailment
713,neutral
714,entailment
715,entailment
716,entailment
717,neutral
718,entailment
719,contradiction
720,neutral
721,entailment
722,entailment
723,contradiction
724,neutral
725,entailment
726,entailment
727,entailment
728,entailment
729,entailment
730,entailment
731,entailment
732,contradiction
733,entailment
734,entailment
735,neutral
736,neutral
737,neutral
738,neutral
739,neutral
740,neutral
741,neutral
742,neutral
743,neutral
744,neutral
745,neutral
746,neutral
747,neutral
748,neutral
749,neutral
750,neutral
751,entailment
752,neutral
753,neutral
754,neutral
755,neutral
756,neutral
757,neutral
758,neutral
759,neutral
760,neutral
761,neutral
762,neutral
763,neutral
764,neutral
765,neutral
766,neutral
767,neutral
768,neutral
769,entailment
770,neutral
771,neutral
772,neutral
773,neutral
774,neutral
775,neutral
776,neutral
777,neutral
778,neutral
779,neutral
780,neutral
781,neutral
782,neutral
783,neutral
784,neutral
785,neutral
786,neutral
787,neutral
788,neutral
789,neutral
790,neutral
791,neutral
792,neutral
793,neutral
794,neutral
795,neutral
796,neutral
797,neutral
798,neutral
799,neutral
800,neutral
801,neutral
802,neutral
803,neutral
804,neutral
805,neutral
806,neutral
807,neutral
808,neutral
809,neutral
810,neutral
811,neutral
812,neutral
813,neutral
814,neutral
815,neutral
816,neutral
817,neutral
818,neutral
819,neutral
820,neutral
821,neutral
822,neutral
823,neutral
824,contradiction
825,contradiction
826,contradiction
827,contradiction
828,entailment
829,contradiction
830,entailment
831,entailment
832,neutral
833,contradiction
834,entailment
835,contradiction
836,neutral
837,contradiction
838,neutral
839,contradiction
840,neutral
841,entailment
842,neutral
843,neutral
844,contradiction
845,neutral
846,contradiction
847,contradiction
848,contradiction
849,neutral
850,contradiction
851,contradiction
852,neutral
853,contradiction
854,contradiction
855,entailment
856,neutral
857,contradiction
858,contradiction
859,contradiction
860,contradiction
861,contradiction
862,contradiction
863,contradiction
864,entailment
865,contradiction
866,contradiction
867,entailment
868,entailment
869,entailment
870,contradiction
871,entailment
872,entailment
873,entailment
874,neutral
875,entailment
876,contradiction
877,entailment
878,neutral
879,entailment
880,neutral
881,entailment
882,neutral
883,contradiction
884,neutral
885,neutral
886,entailment
887,neutral
888,entailment
889,entailment
890,entailment
891,neutral
892,entailment
893,contradiction
894,neutral
895,entailment
896,entailment
897,contradiction
898,neutral
899,entailment
900,entailment
901,entailment
902,entailment
903,entailment
904,entailment
905,entailment
906,entailment
907,entailment
908,entailment
909,entailment
910,entailment
911,contradiction
912,entailment
913,contradiction
914,contradiction
915,neutral
916,entailment
917,contradiction
918,entailment
919,neutral
920,entailment
921,neutral
922,entailment
923,neutral
924,contradiction
925,neutral
926,neutral
927,entailment
928,neutral
929,entailment
930,entailment
931,entailment
932,neutral
933,entailment
934,contradiction
935,neutral
936,entailment
937,entailment
938,contradiction
939,neutral
940,entailment
941,entailment
942,entailment
943,entailment
944,entailment
945,entailment
946,entailment
947,contradiction
948,entailment
949,entailment
950,entailment
951,contradiction
952,entailment
953,entailment
954,entailment
955,neutral
956,entailment
957,contradiction
958,entailment
959,neutral
960,entailment
961,neutral
962,entailment
963,neutral
964,contradiction
965,neutral
966,neutral
967,entailment
968,neutral
969,entailment
970,entailment
971,entailment
972,neutral
973,entailment
974,contradiction
975,neutral
976,entailment
977,contradiction
978,contradiction
979,neutral
980,entailment
981,entailment
982,entailment
983,entailment
984,entailment
985,entailment
986,entailment
987,entailment
988,entailment
989,entailment
990,contradiction
991,entailment
992,contradiction
993,contradiction
994,neutral
995,entailment
996,contradiction
997,entailment
998,neutral
999,entailment
1000,neutral
1001,entailment
1002,neutral
1003,contradiction
1004,neutral
1005,neutral
1006,entailment
1007,neutral
1008,entailment
1009,entailment
1010,entailment
1011,neutral
1012,entailment
1013,contradiction
1014,neutral
1015,entailment
1016,entailment
1017,contradiction
1018,neutral
1019,entailment
1020,entailment
1021,entailment
1022,entailment
1023,entailment
1024,entailment
1025,entailment
1026,contradiction
1027,entailment
1028,entailment
1029,entailment
1030,contradiction
1031,contradiction
1032,neutral
1033,contradiction
1034,entailment
1035,contradiction
1036,neutral
1037,contradiction
1038,neutral
1039,contradiction
1040,neutral
1041,entailment
1042,neutral
1043,neutral
1044,contradiction
1045,neutral
1046,contradiction
1047,contradiction
1048,contradiction
1049,neutral
1050,contradiction
1051,contradiction
1052,neutral
1053,contradiction
1054,entailment
1055,entailment
1056,neutral
1057,entailment
1058,entailment
1059,contradiction
1060,entailment
1061,contradiction
1062,contradiction
1063,entailment
1064,contradiction
1065,entailment
1066,contradiction
1067,entailment
1068,entailment
1069,neutral
1070,entailment
1071,entailment
1072,entailment
1073,neutral
1074,entailment
1075,neutral
1076,entailment
1077,neutral
1078,entailment
1079,neutral
1080,neutral
1081,entailment
1082,neutral
1083,entailment
1084,entailment
1085,entailment
1086,neutral
1087,entailment
1088,entailment
1089,neutral
1090,entailment
1091,contradiction
1092,contradiction
1093,neutral
1094,contradiction
1095,contradiction
1096,entailment
1097,entailment
1098,entailment
1099,entailment
1100,contradiction
1101,entailment
1102,entailment
1103,entailment
1104,entailment
1105,neutral
1106,entailment
1107,entailment
1108,entailment
1109,neutral
1110,entailment
1111,neutral
1112,entailment
1113,neutral
1114,contradiction
1115,neutral
1116,neutral
1117,contradiction
1118,neutral
1119,entailment
1120,contradiction
1121,entailment
1122,neutral
1123,contradiction
1124,entailment
1125,neutral
1126,entailment
1127,contradiction
1128,entailment
1129,neutral
1130,contradiction
1131,contradiction
1132,contradiction
1133,entailment
1134,entailment
1135,entailment
1136,contradiction
1137,entailment
1138,entailment
1139,entailment
1140,neutral
1141,entailment
1142,entailment
1143,entailment
1144,neutral
1145,entailment
1146,neutral
1147,entailment
1148,neutral
1149,contradiction
1150,neutral
1151,neutral
1152,contradiction
1153,neutral
1154,entailment
1155,contradiction
1156,entailment
1157,neutral
1158,contradiction
1159,entailment
1160,neutral
1161,entailment
1162,contradiction
1163,entailment
1164,neutral
1165,contradiction
1166,contradiction
1167,contradiction
1168,entailment
1169,entailment
1170,entailment
1171,contradiction
1172,entailment
1173,entailment
1174,entailment
1175,neutral
1176,neutral
1177,neutral
1178,neutral
1179,neutral
1180,neutral
1181,neutral
1182,neutral
1183,neutral
1184,neutral
1185,neutral
1186,neutral
1187,neutral
1188,neutral
1189,neutral
1190,neutral
1191,neutral
1192,neutral
1193,neutral
1194,neutral
1195,neutral
1196,neutral
1197,neutral
1198,neutral
1199,neutral
1200,neutral
1201,neutral
1202,neutral
1203,neutral
1204,neutral
1205,neutral
1206,neutral
1207,neutral
1208,neutral
1209,contradiction
1210,entailment
1211,neutral
1212,entailment
1213,neutral
1214,entailment
1215,neutral
1216,contradiction
1217,neutral
1218,neutral
1219,entailment
1220,neutral
1221,entailment
1222,entailment
1223,entailment
1224,neutral
1225,entailment
1226,contradiction
1227,neutral
1228,entailment
1229,contradiction
1230,contradiction
1231,neutral
1232,entailment
1233,entailment
1234,entailment
1235,entailment
1236,entailment
1237,entailment
1238,entailment
1239,entailment
1240,entailment
1241,entailment
1242,contradiction
1243,neutral
1244,contradiction
1245,neutral
1246,contradiction
1247,neutral
1248,entailment
1249,neutral
1250,neutral
1251,contradiction
1252,neutral
1253,contradiction
1254,contradiction
1255,contradiction
1256,neutral
1257,contradiction
1258,entailment
1259,neutral
1260,contradiction
1261,contradiction
1262,entailment
1263,neutral
1264,entailment
1265,entailment
1266,contradiction
1267,entailment
1268,contradiction
1269,contradiction
1270,entailment
1271,entailment
1272,entailment
1273,contradiction
1274,neutral
1275,entailment
1276,neutral
1277,entailment
1278,neutral
1279,contradiction
1280,neutral
1281,neutral
1282,entailment
1283,neutral
1284,entailment
1285,entailment
1286,entailment
1287,neutral
1288,entailment
1289,contradiction
1290,neutral
1291,entailment
1292,contradiction
1293,contradiction
1294,neutral
1295,entailment
1296,entailment
1297,entailment
1298,entailment
1299,entailment
1300,entailment
1301,entailment
1302,entailment
1303,entailment
1304,entailment
1305,neutral
1306,neutral
1307,neutral
1308,neutral
1309,neutral
1310,neutral
1311,neutral
1312,neutral
1313,neutral
1314,neutral
1315,neutral
1316,neutral
1317,neutral
1318,neutral
1319,neutral
1320,neutral
1321,neutral
1322,neutral
1323,neutral
1324,neutral
1325,neutral
1326,neutral
1327,neutral
1328,neutral
1329,neutral
1330,neutral
1331,neutral
1332,neutral
1333,neutral
1334,neutral
1335,neutral
1336,entailment
1337,neutral
1338,contradiction
1339,neutral
1340,neutral
1341,entailment
1342,neutral
1343,entailment
1344,entailment
1345,entailment
1346,neutral
1347,entailment
1348,contradiction
1349,neutral
1350,entailment
1351,entailment
1352,contradiction
1353,neutral
1354,entailment
1355,entailment
1356,entailment
1357,entailment
1358,entailment
1359,entailment
1360,entailment
1361,entailment
1362,entailment
1363,entailment
1364,neutral
1365,neutral
1366,neutral
1367,neutral
1368,neutral
1369,neutral
1370,neutral
1371,neutral
1372,neutral
1373,neutral
1374,neutral
1375,neutral
1376,neutral
1377,neutral
1378,neutral
1379,neutral
1380,neutral
1381,entailment
1382,neutral
1383,neutral
1384,neutral
1385,neutral
1386,neutral
1387,neutral
1388,neutral
1389,neutral
1390,neutral
1391,neutral
1392,neutral
1393,contradiction
1394,neutral
1395,neutral
1396,entailment
1397,neutral
1398,entailment
1399,entailment
1400,entailment
1401,neutral
1402,entailment
1403,contradiction
1404,neutral
1405,entailment
1406,entailment
1407,contradiction
1408,neutral
1409,entailment
1410,entailment
1411,entailment
1412,entailment
1413,entailment
1414,entailment
1415,entailment
1416,entailment
1417,entailment
1418,entailment
1419,neutral
1420,neutral
1421,neutral
1422,neutral
1423,neutral
1424,neutral
1425,neutral
1426,neutral
1427,neutral
1428,neutral
1429,neutral
1430,neutral
1431,neutral
1432,neutral
1433,neutral
1434,neutral
1435,neutral
1436,neutral
1437,neutral
1438,neutral
1439,neutral
1440,neutral
1441,neutral
1442,neutral
1443,neutral
1444,neutral
1445,neutral
1446,neutral
1447,contradiction
1448,neutral
1449,contradiction
1450,contradiction
1451,contradiction
1452,neutral
1453,contradiction
1454,contradiction
1455,neutral
1456,contradiction
1457,entailment
1458,entailment
1459,neutral
1460,entailment
1461,entailment
1462,contradiction
1463,entailment
1464,contradiction
1465,contradiction
1466,entailment
1467,contradiction
1468,entailment
1469,contradiction
1470,neutral
1471,neutral
1472,neutral
1473,neutral
1474,neutral
1475,neutral
1476,neutral
1477,neutral
1478,neutral
1479,neutral
1480,neutral
1481,neutral
1482,neutral
1483,neutral
1484,neutral
1485,neutral
1486,neutral
1487,neutral
1488,neutral
1489,neutral
1490,neutral
1491,neutral
1492,neutral
1493,neutral
1494,neutral
1495,neutral
1496,neutral
1497,neutral
1498,neutral
1499,entailment
1500,neutral
1501,neutral
1502,neutral
1503,neutral
1504,neutral
1505,neutral
1506,neutral
1507,neutral
1508,neutral
1509,neutral
1510,neutral
1511,neutral
1512,neutral
1513,neutral
1514,neutral
1515,neutral
1516,neutral
1517,neutral
1518,entailment
1519,entailment
1520,entailment
1521,neutral
1522,entailment
1523,contradiction
1524,neutral
1525,entailment
1526,entailment
1527,contradiction
1528,neutral
1529,entailment
1530,entailment
1531,entailment
1532,entailment
1533,entailment
1534,entailment
1535,entailment
1536,contradiction
1537,entailment
1538,entailment
1539,neutral
1540,neutral
1541,neutral
1542,neutral
1543,neutral
1544,neutral
1545,entailment
1546,neutral
1547,neutral
1548,neutral
1549,neutral
1550,neutral
1551,neutral
1552,neutral
1553,neutral
1554,neutral
1555,neutral
1556,neutral
1557,neutral
1558,neutral
1559,neutral
1560,entailment
1561,entailment
1562,neutral
1563,entailment
1564,contradiction
1565,neutral
1566,entailment
1567,contradiction
1568,contradiction
1569,neutral
1570,entailment
1571,entailment
1572,entailment
1573,entailment
1574,entailment
1575,entailment
1576,entailment
1577,entailment
1578,entailment
1579,entailment
1580,entailment
1581,neutral
1582,entailment
1583,contradiction
1584,neutral
1585,entailment
1586,entailment
1587,contradiction
1588,neutral
1589,entailment
1590,entailment
1591,entailment
1592,entailment
1593,entailment
1594,entailment
1595,entailment
1596,contradiction
1597,entailment
1598,entailment
1599,neutral
1600,entailment
1601,contradiction
1602,neutral
1603,entailment
1604,entailment
1605,contradiction
1606,neutral
1607,entailment
1608,entailment
1609,entailment
1610,entailment
1611,entailment
1612,entailment
1613,entailment
1614,entailment
1615,entailment
1616,entailment
1617,neutral
1618,neutral
1619,neutral
1620,neutral
1621,neutral
1622,neutral
1623,neutral
1624,neutral
1625,neutral
1626,neutral
1627,neutral
1628,neutral
1629,neutral
1630,neutral
1631,neutral
1632,neutral
1633,neutral
1634,contradiction
1635,neutral
1636,entailment
1637,entailment
1638,contradiction
1639,neutral
1640,entailment
1641,entailment
1642,entailment
1643,entailment
1644,entailment
1645,entailment
1646,entailment
1647,contradiction
1648,entailment
1649,entailment
1650,neutral
1651,contradiction
1652,contradiction
1653,contradiction
1654,neutral
1655,contradiction
1656,contradiction
1657,contradiction
1658,entailment
1659,contradiction
1660,contradiction
1661,contradiction
1662,entailment
1663,entailment
1664,contradiction
1665,neutral
1666,neutral
1667,neutral
1668,neutral
1669,neutral
1670,neutral
1671,neutral
1672,neutral
1673,neutral
1674,neutral
1675,neutral
1676,neutral
1677,neutral
1678,neutral
1679,entailment
1680,contradiction
1681,neutral
1682,entailment
1683,entailment
1684,entailment
1685,entailment
1686,entailment
1687,entailment
1688,entailment
1689,entailment
1690,entailment
1691,entailment
1692,contradiction
1693,neutral
1694,entailment
1695,entailment
1696,entailment
1697,contradiction
1698,contradiction
1699,contradiction
1700,entailment
1701,contradiction
1702,contradiction
1703,entailment
1704,neutral
1705,contradiction
1706,contradiction
1707,contradiction
1708,contradiction
1709,contradiction
1710,contradiction
1711,contradiction
1712,entailment
1713,contradiction
1714,contradiction
1715,neutral
1716,neutral
1717,neutral
1718,neutral
1719,neutral
1720,neutral
1721,neutral
1722,neutral
1723,neutral
1724,neutral
1725,entailment
1726,entailment
1727,contradiction
1728,entailment
1729,entailment
1730,entailment
1731,contradiction
1732,contradiction
1733,entailment
1734,entailment
1735,contradiction
1736,entailment
1737,entailment
1738,entailment
1739,contradiction
1740,contradiction
1741,entailment
1742,entailment
1743,entailment
1744,entailment
1745,entailment
1746,contradiction
1747,entailment
1748,entailment
1749,entailment
1750,entailment
1751,contradiction
1752,entailment
1753,entailment
1754,entailment
1755,entailment
1756,entailment
1757,entailment
1758,entailment
1759,entailment
1760,entailment
1761,entailment
1762,entailment
1763,entailment
1764,contradiction
1765,contradiction
1766,entailment
1767,entailment
1768,entailment
1769,entailment
