,inference
198,neutral
199,neutral
200,neutral
201,neutral
202,neutral
203,neutral
204,neutral
205,neutral
206,neutral
207,neutral
208,neutral
209,neutral
210,neutral
211,neutral
212,neutral
213,neutral
214,neutral
215,neutral
216,neutral
217,neutral
218,neutral
219,neutral
220,neutral
221,contradiction
222,entailment
223,neutral
224,contradiction
225,entailment
226,neutral
227,neutral
228,contradiction
229,neutral
230,entailment
231,contradiction
232,neutral
233,entailment
234,neutral
235,neutral
236,contradiction
237,contradiction
238,entailment
239,contradiction
240,entailment
241,entailment
242,entailment
243,neutral
244,neutral
245,contradiction
246,entailment
247,neutral
248,neutral
249,contradiction
250,neutral
251,contradiction
252,entailment
253,contradiction
254,neutral
255,neutral
256,neutral
257,neutral
258,neutral
259,neutral
260,neutral
261,neutral
262,neutral
263,neutral
264,neutral
265,neutral
266,entailment
267,neutral
268,neutral
269,neutral
270,neutral
271,neutral
272,neutral
273,neutral
274,neutral
275,entailment
276,neutral
277,neutral
278,neutral
279,neutral
280,neutral
281,neutral
282,neutral
283,neutral
284,neutral
285,neutral
286,neutral
287,neutral
288,neutral
289,neutral
290,neutral
291,neutral
292,neutral
293,neutral
294,neutral
295,neutral
296,neutral
297,neutral
298,entailment
299,neutral
300,neutral
301,contradiction
302,neutral
303,entailment
304,entailment
305,neutral
306,neutral
307,entailment
308,neutral
309,contradiction
310,entailment
311,neutral
312,contradiction
313,neutral
314,neutral
315,contradiction
316,entailment
317,entailment
318,entailment
319,entailment
320,entailment
321,contradiction
322,neutral
323,neutral
324,entailment
325,contradiction
326,neutral
327,neutral
328,entailment
329,neutral
330,entailment
331,contradiction
332,entailment
333,neutral
334,neutral
335,neutral
336,neutral
337,neutral
338,neutral
339,neutral
340,neutral
341,contradiction
342,contradiction
343,neutral
344,neutral
345,entailment
346,neutral
347,entailment
348,entailment
349,neutral
350,entailment
351,neutral
352,neutral
353,entailment
354,entailment
355,contradiction
356,entailment
357,contradiction
358,contradiction
359,entailment
360,neutral
361,neutral
362,entailment
363,entailment
364,neutral
365,neutral
366,entailment
367,neutral
368,entailment
369,entailment
370,entailment
371,neutral
372,neutral
373,neutral
374,neutral
375,neutral
376,neutral
377,neutral
378,neutral
379,neutral
380,neutral
381,neutral
382,neutral
383,neutral
384,neutral
385,neutral
386,neutral
387,neutral
388,neutral
389,neutral
390,neutral
391,neutral
392,neutral
393,neutral
394,neutral
395,neutral
396,neutral
397,neutral
398,neutral
399,neutral
400,neutral
401,entailment
402,entailment
403,neutral
404,neutral
405,neutral
406,neutral
407,neutral
408,neutral
409,neutral
410,neutral
411,neutral
412,neutral
413,neutral
414,neutral
415,entailment
416,neutral
417,neutral
418,entailment
419,neutral
420,contradiction
421,entailment
422,neutral
423,contradiction
424,neutral
425,neutral
426,contradiction
427,entailment
428,entailment
429,entailment
430,entailment
431,entailment
432,contradiction
433,neutral
434,neutral
435,entailment
436,contradiction
437,neutral
438,neutral
439,entailment
440,neutral
441,entailment
442,contradiction
443,entailment
444,neutral
445,neutral
446,neutral
447,neutral
448,neutral
449,neutral
450,neutral
451,neutral
452,neutral
453,entailment
454,neutral
455,entailment
456,entailment
457,neutral
458,entailment
459,neutral
460,neutral
461,entailment
462,entailment
463,contradiction
464,entailment
465,contradiction
466,contradiction
467,entailment
468,neutral
469,neutral
470,entailment
471,entailment
472,neutral
473,neutral
474,entailment
475,neutral
476,entailment
477,entailment
478,entailment
479,neutral
480,neutral
481,neutral
482,neutral
483,neutral
484,neutral
485,neutral
486,neutral
487,neutral
488,neutral
489,neutral
490,neutral
491,neutral
492,neutral
493,neutral
494,entailment
495,neutral
496,neutral
497,neutral
498,neutral
499,neutral
500,neutral
501,neutral
502,neutral
503,neutral
504,neutral
505,neutral
506,neutral
507,neutral
508,neutral
509,neutral
510,neutral
511,neutral
512,neutral
513,neutral
514,neutral
515,neutral
516,neutral
517,entailment
518,neutral
519,neutral
520,neutral
521,neutral
522,neutral
523,neutral
524,neutral
525,neutral
526,neutral
527,neutral
528,neutral
529,neutral
530,neutral
531,neutral
532,neutral
533,neutral
534,neutral
535,neutral
536,neutral
537,neutral
538,neutral
539,neutral
540,neutral
541,neutral
542,neutral
543,neutral
544,neutral
545,neutral
546,neutral
547,neutral
548,neutral
549,neutral
550,neutral
551,neutral
552,neutral
553,neutral
554,contradiction
555,entailment
556,neutral
557,contradiction
558,neutral
559,neutral
560,entailment
561,entailment
562,contradiction
563,entailment
564,contradiction
565,contradiction
566,contradiction
567,neutral
568,neutral
569,entailment
570,contradiction
571,neutral
572,neutral
573,entailment
574,neutral
575,entailment
576,contradiction
577,entailment
578,neutral
579,neutral
580,neutral
581,neutral
582,neutral
583,neutral
584,neutral
585,neutral
586,neutral
587,neutral
588,neutral
589,neutral
590,neutral
591,neutral
592,neutral
593,neutral
594,neutral
595,neutral
596,neutral
597,neutral
598,neutral
599,neutral
600,neutral
601,neutral
602,neutral
603,neutral
604,neutral
605,neutral
606,neutral
607,neutral
608,neutral
609,neutral
610,neutral
611,neutral
612,neutral
613,neutral
614,neutral
615,neutral
616,contradiction
617,neutral
618,entailment
619,neutral
620,neutral
621,contradiction
622,contradiction
623,entailment
624,contradiction
625,entailment
626,entailment
627,entailment
628,neutral
629,neutral
630,contradiction
631,entailment
632,neutral
633,neutral
634,contradiction
635,neutral
636,contradiction
637,entailment
638,contradiction
639,neutral
640,neutral
641,neutral
642,neutral
643,neutral
644,neutral
645,neutral
646,neutral
647,contradiction
648,neutral
649,neutral
650,entailment
651,entailment
652,contradiction
653,entailment
654,contradiction
655,contradiction
656,contradiction
657,neutral
658,neutral
659,entailment
660,contradiction
661,neutral
662,neutral
663,entailment
664,neutral
665,entailment
666,contradiction
667,entailment
668,neutral
669,neutral
670,neutral
671,neutral
672,neutral
673,neutral
674,neutral
675,neutral
676,neutral
677,neutral
678,neutral
679,neutral
680,neutral
681,neutral
682,neutral
683,neutral
684,neutral
685,neutral
686,neutral
687,neutral
688,neutral
689,neutral
690,neutral
691,neutral
692,neutral
693,neutral
694,neutral
695,neutral
696,neutral
697,neutral
698,neutral
699,neutral
700,neutral
701,neutral
702,neutral
703,neutral
704,neutral
705,contradiction
706,contradiction
707,entailment
708,contradiction
709,entailment
710,entailment
711,entailment
712,neutral
713,neutral
714,contradiction
715,entailment
716,neutral
717,neutral
718,contradiction
719,neutral
720,contradiction
721,entailment
722,contradiction
723,neutral
724,neutral
725,neutral
726,neutral
727,neutral
728,neutral
729,neutral
730,neutral
731,neutral
732,neutral
733,neutral
734,neutral
735,neutral
736,neutral
737,neutral
738,entailment
739,neutral
740,neutral
741,neutral
742,neutral
743,neutral
744,neutral
745,neutral
746,neutral
747,neutral
748,neutral
749,neutral
750,neutral
751,neutral
752,neutral
753,neutral
754,neutral
755,neutral
756,neutral
757,neutral
758,neutral
759,neutral
760,neutral
761,neutral
762,neutral
763,neutral
764,neutral
765,neutral
766,neutral
767,neutral
768,neutral
769,neutral
770,neutral
771,neutral
772,neutral
773,neutral
774,neutral
775,neutral
776,neutral
777,neutral
778,entailment
779,neutral
780,neutral
781,entailment
782,contradiction
783,entailment
784,contradiction
785,contradiction
786,contradiction
787,neutral
788,neutral
789,entailment
790,contradiction
791,neutral
792,neutral
793,entailment
794,neutral
795,entailment
796,contradiction
797,entailment
798,neutral
799,neutral
800,neutral
801,neutral
802,neutral
803,neutral
804,neutral
805,contradiction
806,entailment
807,contradiction
808,contradiction
809,contradiction
810,neutral
811,neutral
812,entailment
813,contradiction
814,neutral
815,neutral
816,entailment
817,neutral
818,entailment
819,contradiction
820,entailment
821,neutral
822,neutral
823,neutral
824,neutral
825,neutral
826,neutral
827,neutral
828,contradiction
829,entailment
830,entailment
831,entailment
832,neutral
833,neutral
834,contradiction
835,entailment
836,neutral
837,neutral
838,contradiction
839,neutral
840,contradiction
841,entailment
842,contradiction
843,neutral
844,neutral
845,neutral
846,neutral
847,neutral
848,neutral
849,neutral
850,contradiction
851,contradiction
852,contradiction
853,neutral
854,neutral
855,entailment
856,contradiction
857,neutral
858,neutral
859,entailment
860,neutral
861,entailment
862,contradiction
863,entailment
864,neutral
865,neutral
866,neutral
867,neutral
868,neutral
869,neutral
870,neutral
871,entailment
872,entailment
873,neutral
874,neutral
875,contradiction
876,entailment
877,neutral
878,neutral
879,contradiction
880,neutral
881,contradiction
882,contradiction
883,contradiction
884,neutral
885,neutral
886,neutral
887,neutral
888,neutral
889,neutral
890,neutral
891,entailment
892,neutral
893,neutral
894,contradiction
895,entailment
896,neutral
897,neutral
898,contradiction
899,neutral
900,contradiction
901,contradiction
902,contradiction
903,neutral
904,neutral
905,neutral
906,neutral
907,neutral
908,neutral
909,neutral
910,neutral
911,neutral
912,contradiction
913,entailment
914,neutral
915,neutral
916,contradiction
917,neutral
918,contradiction
919,entailment
920,contradiction
921,neutral
922,neutral
923,neutral
924,neutral
925,neutral
926,neutral
927,neutral
928,neutral
929,neutral
930,neutral
931,neutral
932,neutral
933,neutral
934,neutral
935,neutral
936,neutral
937,neutral
938,neutral
939,neutral
940,neutral
941,neutral
942,neutral
943,neutral
944,neutral
945,neutral
946,neutral
947,neutral
948,neutral
949,neutral
950,neutral
951,neutral
952,neutral
953,neutral
954,neutral
955,neutral
956,neutral
957,neutral
958,neutral
959,neutral
960,neutral
961,contradiction
962,neutral
963,neutral
964,entailment
965,neutral
966,entailment
967,contradiction
968,entailment
969,neutral
970,neutral
971,neutral
972,neutral
973,neutral
974,neutral
975,neutral
976,neutral
977,neutral
978,contradiction
979,neutral
980,contradiction
981,entailment
982,contradiction
983,neutral
984,neutral
985,neutral
986,neutral
987,neutral
988,neutral
989,neutral
990,entailment
991,neutral
992,neutral
993,neutral
994,neutral
995,neutral
996,neutral
997,neutral
998,neutral
999,neutral
1000,neutral
1001,neutral
1002,neutral
1003,neutral
1004,neutral
1005,neutral
1006,neutral
1007,neutral
1008,neutral
1009,neutral
1010,neutral
1011,neutral
1012,neutral
1013,neutral
1014,neutral
1015,neutral
1016,entailment
1017,contradiction
1018,entailment
1019,neutral
1020,neutral
1021,neutral
1022,neutral
1023,neutral
1024,neutral
1025,neutral
1026,neutral
1027,neutral
1028,neutral
1029,neutral
1030,entailment
1031,entailment
1032,entailment
1033,neutral
1034,entailment
1035,entailment
1036,contradiction
1037,entailment
1038,neutral
1039,neutral
1040,neutral
1041,neutral
1042,neutral
1043,neutral
1044,neutral
1045,contradiction
1046,neutral
1047,neutral
1048,neutral
1049,neutral
1050,neutral
1051,neutral
1052,neutral
1053,neutral
1054,neutral
1055,neutral
1056,neutral
1057,neutral
1058,neutral
1059,neutral
1060,neutral
1061,neutral
1062,neutral
1063,neutral
1064,neutral
1065,neutral
1066,entailment
1067,entailment
1068,neutral
1069,entailment
1070,entailment
1071,entailment
1072,neutral
1073,entailment
1074,entailment
1075,neutral
1076,entailment
1077,entailment
1078,neutral
1079,neutral
1080,entailment
