,first,second
15,"You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results.",You like the challenges of life and are very competitive and sometimes combative.
16,"You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results.",You get bored easily with routine and one thing you may need to practice more of is persistence.
17,"You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results.","You tend to jump from one thing to another, always looking for something new."
18,"You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results.",Finish what you start before moving on.
19,"You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results.","If you have Jupiter in Aries, you are enthusiastic, assertive, energetic, and filled with many ideas on how to grow, start, promote, or expand the ideas which fill your head."
20,"You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results.",You are opinionated and can be very persuasive in getting people to go along with your plans and ideas.
21,"You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results.",You like dealing with the big picture and have leadership qualities.
22,"You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results.",A need to learn patience and to think before you act is probable.
23,"You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results.",Your tendency to promise more than you can deliver should be watched.
24,"You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results.",Tolerance of others people's ideas and viewpoints should also be developed.
25,"You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results.","You have the ability to sell things, ideas, material goods, philosophies."
26,"You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results.","Over-optimism, conceit, self-centeredness, false pride, and fanaticism over some cause may be your biggest shortfalls with this position."
27,"Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people.",You like the challenges of life and are very competitive and sometimes combative.
28,"Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people.",You get bored easily with routine and one thing you may need to practice more of is persistence.
29,"Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people.","You tend to jump from one thing to another, always looking for something new."
30,"Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people.",Finish what you start before moving on.
31,"Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people.","If you have Jupiter in Aries, you are enthusiastic, assertive, energetic, and filled with many ideas on how to grow, start, promote, or expand the ideas which fill your head."
32,"Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people.",You are opinionated and can be very persuasive in getting people to go along with your plans and ideas.
33,"Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people.",You like dealing with the big picture and have leadership qualities.
34,"Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people.",A need to learn patience and to think before you act is probable.
35,"Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people.",Your tendency to promise more than you can deliver should be watched.
36,"Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people.",Tolerance of others people's ideas and viewpoints should also be developed.
37,"Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people.","You have the ability to sell things, ideas, material goods, philosophies."
38,"Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people.","Over-optimism, conceit, self-centeredness, false pride, and fanaticism over some cause may be your biggest shortfalls with this position."
39,You like the challenges of life and are very competitive and sometimes combative.,You get bored easily with routine and one thing you may need to practice more of is persistence.
40,You like the challenges of life and are very competitive and sometimes combative.,"You tend to jump from one thing to another, always looking for something new."
41,You like the challenges of life and are very competitive and sometimes combative.,Finish what you start before moving on.
42,You like the challenges of life and are very competitive and sometimes combative.,"If you have Jupiter in Aries, you are enthusiastic, assertive, energetic, and filled with many ideas on how to grow, start, promote, or expand the ideas which fill your head."
43,You like the challenges of life and are very competitive and sometimes combative.,You are opinionated and can be very persuasive in getting people to go along with your plans and ideas.
44,You like the challenges of life and are very competitive and sometimes combative.,You like dealing with the big picture and have leadership qualities.
45,You like the challenges of life and are very competitive and sometimes combative.,A need to learn patience and to think before you act is probable.
46,You like the challenges of life and are very competitive and sometimes combative.,Your tendency to promise more than you can deliver should be watched.
47,You like the challenges of life and are very competitive and sometimes combative.,Tolerance of others people's ideas and viewpoints should also be developed.
48,You like the challenges of life and are very competitive and sometimes combative.,"You have the ability to sell things, ideas, material goods, philosophies."
49,You like the challenges of life and are very competitive and sometimes combative.,"Over-optimism, conceit, self-centeredness, false pride, and fanaticism over some cause may be your biggest shortfalls with this position."
50,You get bored easily with routine and one thing you may need to practice more of is persistence.,"You tend to jump from one thing to another, always looking for something new."
51,You get bored easily with routine and one thing you may need to practice more of is persistence.,Finish what you start before moving on.
52,You get bored easily with routine and one thing you may need to practice more of is persistence.,"If you have Jupiter in Aries, you are enthusiastic, assertive, energetic, and filled with many ideas on how to grow, start, promote, or expand the ideas which fill your head."
53,You get bored easily with routine and one thing you may need to practice more of is persistence.,You are opinionated and can be very persuasive in getting people to go along with your plans and ideas.
54,You get bored easily with routine and one thing you may need to practice more of is persistence.,You like dealing with the big picture and have leadership qualities.
55,You get bored easily with routine and one thing you may need to practice more of is persistence.,A need to learn patience and to think before you act is probable.
56,You get bored easily with routine and one thing you may need to practice more of is persistence.,Your tendency to promise more than you can deliver should be watched.
57,You get bored easily with routine and one thing you may need to practice more of is persistence.,Tolerance of others people's ideas and viewpoints should also be developed.
58,You get bored easily with routine and one thing you may need to practice more of is persistence.,"You have the ability to sell things, ideas, material goods, philosophies."
59,You get bored easily with routine and one thing you may need to practice more of is persistence.,"Over-optimism, conceit, self-centeredness, false pride, and fanaticism over some cause may be your biggest shortfalls with this position."
60,"You tend to jump from one thing to another, always looking for something new.",Finish what you start before moving on.
61,"You tend to jump from one thing to another, always looking for something new.","If you have Jupiter in Aries, you are enthusiastic, assertive, energetic, and filled with many ideas on how to grow, start, promote, or expand the ideas which fill your head."
62,"You tend to jump from one thing to another, always looking for something new.",You are opinionated and can be very persuasive in getting people to go along with your plans and ideas.
63,"You tend to jump from one thing to another, always looking for something new.",You like dealing with the big picture and have leadership qualities.
64,"You tend to jump from one thing to another, always looking for something new.",A need to learn patience and to think before you act is probable.
65,"You tend to jump from one thing to another, always looking for something new.",Your tendency to promise more than you can deliver should be watched.
66,"You tend to jump from one thing to another, always looking for something new.",Tolerance of others people's ideas and viewpoints should also be developed.
67,"You tend to jump from one thing to another, always looking for something new.","You have the ability to sell things, ideas, material goods, philosophies."
68,"You tend to jump from one thing to another, always looking for something new.","Over-optimism, conceit, self-centeredness, false pride, and fanaticism over some cause may be your biggest shortfalls with this position."
69,Finish what you start before moving on.,"If you have Jupiter in Aries, you are enthusiastic, assertive, energetic, and filled with many ideas on how to grow, start, promote, or expand the ideas which fill your head."
70,Finish what you start before moving on.,You are opinionated and can be very persuasive in getting people to go along with your plans and ideas.
71,Finish what you start before moving on.,You like dealing with the big picture and have leadership qualities.
72,Finish what you start before moving on.,A need to learn patience and to think before you act is probable.
73,Finish what you start before moving on.,Your tendency to promise more than you can deliver should be watched.
74,Finish what you start before moving on.,Tolerance of others people's ideas and viewpoints should also be developed.
75,Finish what you start before moving on.,"You have the ability to sell things, ideas, material goods, philosophies."
76,Finish what you start before moving on.,"Over-optimism, conceit, self-centeredness, false pride, and fanaticism over some cause may be your biggest shortfalls with this position."
77,"If you have Jupiter in Aries, you are enthusiastic, assertive, energetic, and filled with many ideas on how to grow, start, promote, or expand the ideas which fill your head.",You are opinionated and can be very persuasive in getting people to go along with your plans and ideas.
78,"If you have Jupiter in Aries, you are enthusiastic, assertive, energetic, and filled with many ideas on how to grow, start, promote, or expand the ideas which fill your head.",You like dealing with the big picture and have leadership qualities.
79,"If you have Jupiter in Aries, you are enthusiastic, assertive, energetic, and filled with many ideas on how to grow, start, promote, or expand the ideas which fill your head.",A need to learn patience and to think before you act is probable.
80,"If you have Jupiter in Aries, you are enthusiastic, assertive, energetic, and filled with many ideas on how to grow, start, promote, or expand the ideas which fill your head.",Your tendency to promise more than you can deliver should be watched.
81,"If you have Jupiter in Aries, you are enthusiastic, assertive, energetic, and filled with many ideas on how to grow, start, promote, or expand the ideas which fill your head.",Tolerance of others people's ideas and viewpoints should also be developed.
82,"If you have Jupiter in Aries, you are enthusiastic, assertive, energetic, and filled with many ideas on how to grow, start, promote, or expand the ideas which fill your head.","You have the ability to sell things, ideas, material goods, philosophies."
83,"If you have Jupiter in Aries, you are enthusiastic, assertive, energetic, and filled with many ideas on how to grow, start, promote, or expand the ideas which fill your head.","Over-optimism, conceit, self-centeredness, false pride, and fanaticism over some cause may be your biggest shortfalls with this position."
84,You are opinionated and can be very persuasive in getting people to go along with your plans and ideas.,You like dealing with the big picture and have leadership qualities.
85,You are opinionated and can be very persuasive in getting people to go along with your plans and ideas.,A need to learn patience and to think before you act is probable.
86,You are opinionated and can be very persuasive in getting people to go along with your plans and ideas.,Your tendency to promise more than you can deliver should be watched.
87,You are opinionated and can be very persuasive in getting people to go along with your plans and ideas.,Tolerance of others people's ideas and viewpoints should also be developed.
88,You are opinionated and can be very persuasive in getting people to go along with your plans and ideas.,"You have the ability to sell things, ideas, material goods, philosophies."
89,You are opinionated and can be very persuasive in getting people to go along with your plans and ideas.,"Over-optimism, conceit, self-centeredness, false pride, and fanaticism over some cause may be your biggest shortfalls with this position."
90,You like dealing with the big picture and have leadership qualities.,A need to learn patience and to think before you act is probable.
91,You like dealing with the big picture and have leadership qualities.,Your tendency to promise more than you can deliver should be watched.
92,You like dealing with the big picture and have leadership qualities.,Tolerance of others people's ideas and viewpoints should also be developed.
93,You like dealing with the big picture and have leadership qualities.,"You have the ability to sell things, ideas, material goods, philosophies."
94,You like dealing with the big picture and have leadership qualities.,"Over-optimism, conceit, self-centeredness, false pride, and fanaticism over some cause may be your biggest shortfalls with this position."
95,A need to learn patience and to think before you act is probable.,Your tendency to promise more than you can deliver should be watched.
96,A need to learn patience and to think before you act is probable.,Tolerance of others people's ideas and viewpoints should also be developed.
97,A need to learn patience and to think before you act is probable.,"You have the ability to sell things, ideas, material goods, philosophies."
98,A need to learn patience and to think before you act is probable.,"Over-optimism, conceit, self-centeredness, false pride, and fanaticism over some cause may be your biggest shortfalls with this position."
99,Your tendency to promise more than you can deliver should be watched.,Tolerance of others people's ideas and viewpoints should also be developed.
100,Your tendency to promise more than you can deliver should be watched.,"You have the ability to sell things, ideas, material goods, philosophies."
101,Your tendency to promise more than you can deliver should be watched.,"Over-optimism, conceit, self-centeredness, false pride, and fanaticism over some cause may be your biggest shortfalls with this position."
102,Tolerance of others people's ideas and viewpoints should also be developed.,"You have the ability to sell things, ideas, material goods, philosophies."
103,Tolerance of others people's ideas and viewpoints should also be developed.,"Over-optimism, conceit, self-centeredness, false pride, and fanaticism over some cause may be your biggest shortfalls with this position."
104,"You have the ability to sell things, ideas, material goods, philosophies.","Over-optimism, conceit, self-centeredness, false pride, and fanaticism over some cause may be your biggest shortfalls with this position."
