,first,second,score
27,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","You are basically an introvert, but will do whatever it takes to protect and defend your family or loved ones.",3
28,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You tend to be a pack-rat because everything has an emotional memory behind it and you find security in all those memories.,5
29,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",Nothing or no one is ever gone if they leave their memory behind.,5
30,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","Thus, you can become quite possessive.",5
31,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","You have the memory of an elephant, but you must learn to forgive and forget past hurts.",5
32,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind.",2
33,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet.",5
34,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.,5
35,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",Exercise is a good way to release this tension.,5
36,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","You are clever, witty, and always have a joke or comeback ready for any situation.",7
37,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.,5
38,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You are quick to grasp new concepts and equally quick to lose interest in an idea or project once your curiosity has been satisfied.,5
39,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You like to taste a little bit of everything – concentration and disciplined study are not your strong points.,5
40,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You are handy with your hands and may be ambidextrous or mechanically inclined.,5
41,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",Debate and argument appeal to you.,2
42,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.,5
43,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","This is the jack-of-all-trades, master-of-none position.",5
44,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","There is danger, then, of superficiality.",5
45,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","Control of thought, word, and action is necessary in order to be successful.",5
46,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","Find your focus, stay with it and develop perseverance.",5
47,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","Journalism, speaking, teaching, sales, advertising, or writing may appeal to you.",4
48,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","Mentally restless, you may change jobs or locations frequently, or do work that involves movement, travel, and variety.",5
49,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You grasp concepts easily and may become impatient with those who don't learn as quickly.,4
50,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","If you have Venus in Taurus, in love affairs you are generally loyal and steady, especially if your partner is demonstrative and affectionate.",5
51,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You are oriented towards the sensual side of life in everything you do and it may show through too much weight.,5
52,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","You are tremendously responsive to beauty and physical appearances, and the physical attractiveness of your partner is very important to you.",5
53,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You enjoy indulging yourself and the ones you love and it is too easy for you to be extravagant and perhaps to put too much value in material things.,5
54,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",Comfort is important to you and you hate getting your hands dirty.,5
55,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","At times you can be lazy, hoping or expecting someone else to do the dirty work.",5
56,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","Self-control needs to be developed and added to the qualifications you already possess -warmth, charm, sympathy, artistic.",5
57,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","Guard against possessiveness, jealousy, and taking the easy way out in your relationships.",5
58,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You aim to please in practical and earthy ways.,5
59,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",More about,5
60,"You have an ingenious, active and alert mind.",Gaining knowledge and putting it to good use are important to you.,3
61,"You have an ingenious, active and alert mind.",You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,5
62,"You have an ingenious, active and alert mind.","At times others can never be ""good"" enough to meet those high standards.",5
63,"You have an ingenious, active and alert mind.",Finding fault with what's wrong with things is your forte.,5
64,"You have an ingenious, active and alert mind.","Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do.",5
65,"You have an ingenious, active and alert mind.",Pessimism and being too self-critical are two faults you should try to improve upon.,5
66,"You have an ingenious, active and alert mind.","You may tend to worry too much, especially about the small stuff, the little details.",5
67,"You have an ingenious, active and alert mind.",Too much worry can lead to health problems.,5
68,"You have an ingenious, active and alert mind.","You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",5
69,"You have an ingenious, active and alert mind.",You need to get rid of any negativity that stems from a feeling of inadequacy.,5
70,"You have an ingenious, active and alert mind.","You tend to look younger than you really are, no matter what your age.",5
71,"You have an ingenious, active and alert mind.","You are very restless and nervous, so you seldom have much weight on you.",5
72,"You have an ingenious, active and alert mind.",At times you can be very indecisive and unsure.,5
73,"You have an ingenious, active and alert mind.","If you have the Moon in Cancer, you very easily respond to the emotional environment in which you are placed.",5
74,"You have an ingenious, active and alert mind.",You soak up feelings like a sponge.,5
75,"You have an ingenious, active and alert mind.","Perhaps this is why you so easily become moody, irritable and inconstant in thought and feeling.",5
76,"You have an ingenious, active and alert mind.","Learning to control your own moods may be very difficult, yet necessary, for you.",5
77,"You have an ingenious, active and alert mind.",Your greatest need is to nurture and mother someone or ones.,5
78,"You have an ingenious, active and alert mind.",You often appear irrational to others because you can't always explain the reason or source of your feelings.,6
79,"You have an ingenious, active and alert mind.",Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,5
80,"You have an ingenious, active and alert mind.",You are also very sympathetic and understand the unspoken feelings and needs of others.,5
81,"You have an ingenious, active and alert mind.","You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",5
82,"You have an ingenious, active and alert mind.",Security is very important to you and you look for it in your home and family life.,5
83,"You have an ingenious, active and alert mind.",Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,5
84,"You have an ingenious, active and alert mind.",You are very tenacious and you do not give up or let go of things or people easily.,5
85,"You have an ingenious, active and alert mind.",Your mother is/was a strong influence for good or ill in your life.,5
86,"You have an ingenious, active and alert mind.","You are basically an introvert, but will do whatever it takes to protect and defend your family or loved ones.",5
87,"You have an ingenious, active and alert mind.",You tend to be a pack-rat because everything has an emotional memory behind it and you find security in all those memories.,5
88,"You have an ingenious, active and alert mind.",Nothing or no one is ever gone if they leave their memory behind.,5
89,"You have an ingenious, active and alert mind.","Thus, you can become quite possessive.",5
90,"You have an ingenious, active and alert mind.","You have the memory of an elephant, but you must learn to forgive and forget past hurts.",4
91,"You have an ingenious, active and alert mind.","If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind.",1
92,"You have an ingenious, active and alert mind.","You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet.",5
93,"You have an ingenious, active and alert mind.",You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.,5
94,"You have an ingenious, active and alert mind.",Exercise is a good way to release this tension.,5
95,"You have an ingenious, active and alert mind.","You are clever, witty, and always have a joke or comeback ready for any situation.",3
96,"You have an ingenious, active and alert mind.",You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.,5
97,"You have an ingenious, active and alert mind.",You are quick to grasp new concepts and equally quick to lose interest in an idea or project once your curiosity has been satisfied.,3
98,"You have an ingenious, active and alert mind.",You like to taste a little bit of everything – concentration and disciplined study are not your strong points.,5
99,"You have an ingenious, active and alert mind.",You are handy with your hands and may be ambidextrous or mechanically inclined.,5
100,"You have an ingenious, active and alert mind.",Debate and argument appeal to you.,4
101,"You have an ingenious, active and alert mind.",There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.,5
102,"You have an ingenious, active and alert mind.","This is the jack-of-all-trades, master-of-none position.",5
103,"You have an ingenious, active and alert mind.","There is danger, then, of superficiality.",5
104,"You have an ingenious, active and alert mind.","Control of thought, word, and action is necessary in order to be successful.",5
105,"You have an ingenious, active and alert mind.","Find your focus, stay with it and develop perseverance.",5
106,"You have an ingenious, active and alert mind.","Journalism, speaking, teaching, sales, advertising, or writing may appeal to you.",5
107,"You have an ingenious, active and alert mind.","Mentally restless, you may change jobs or locations frequently, or do work that involves movement, travel, and variety.",4
108,"You have an ingenious, active and alert mind.",You grasp concepts easily and may become impatient with those who don't learn as quickly.,4
109,"You have an ingenious, active and alert mind.","If you have Venus in Taurus, in love affairs you are generally loyal and steady, especially if your partner is demonstrative and affectionate.",5
110,"You have an ingenious, active and alert mind.",You are oriented towards the sensual side of life in everything you do and it may show through too much weight.,5
111,"You have an ingenious, active and alert mind.","You are tremendously responsive to beauty and physical appearances, and the physical attractiveness of your partner is very important to you.",5
112,"You have an ingenious, active and alert mind.",You enjoy indulging yourself and the ones you love and it is too easy for you to be extravagant and perhaps to put too much value in material things.,5
113,"You have an ingenious, active and alert mind.",Comfort is important to you and you hate getting your hands dirty.,5
114,"You have an ingenious, active and alert mind.","At times you can be lazy, hoping or expecting someone else to do the dirty work.",5
115,"You have an ingenious, active and alert mind.","Self-control needs to be developed and added to the qualifications you already possess -warmth, charm, sympathy, artistic.",5
116,"You have an ingenious, active and alert mind.","Guard against possessiveness, jealousy, and taking the easy way out in your relationships.",5
117,"You have an ingenious, active and alert mind.",You aim to please in practical and earthy ways.,5
118,"You have an ingenious, active and alert mind.",More about,5
119,Gaining knowledge and putting it to good use are important to you.,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,5
120,Gaining knowledge and putting it to good use are important to you.,"At times others can never be ""good"" enough to meet those high standards.",5
121,Gaining knowledge and putting it to good use are important to you.,Finding fault with what's wrong with things is your forte.,5
122,Gaining knowledge and putting it to good use are important to you.,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do.",5
123,Gaining knowledge and putting it to good use are important to you.,Pessimism and being too self-critical are two faults you should try to improve upon.,5
124,Gaining knowledge and putting it to good use are important to you.,"You may tend to worry too much, especially about the small stuff, the little details.",5
125,Gaining knowledge and putting it to good use are important to you.,Too much worry can lead to health problems.,5
126,Gaining knowledge and putting it to good use are important to you.,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",5
127,Gaining knowledge and putting it to good use are important to you.,You need to get rid of any negativity that stems from a feeling of inadequacy.,5
128,Gaining knowledge and putting it to good use are important to you.,"You tend to look younger than you really are, no matter what your age.",5
129,Gaining knowledge and putting it to good use are important to you.,"You are very restless and nervous, so you seldom have much weight on you.",5
130,Gaining knowledge and putting it to good use are important to you.,At times you can be very indecisive and unsure.,5
131,Gaining knowledge and putting it to good use are important to you.,"If you have the Moon in Cancer, you very easily respond to the emotional environment in which you are placed.",5
132,Gaining knowledge and putting it to good use are important to you.,You soak up feelings like a sponge.,5
133,Gaining knowledge and putting it to good use are important to you.,"Perhaps this is why you so easily become moody, irritable and inconstant in thought and feeling.",5
134,Gaining knowledge and putting it to good use are important to you.,"Learning to control your own moods may be very difficult, yet necessary, for you.",5
135,Gaining knowledge and putting it to good use are important to you.,Your greatest need is to nurture and mother someone or ones.,5
136,Gaining knowledge and putting it to good use are important to you.,You often appear irrational to others because you can't always explain the reason or source of your feelings.,5
137,Gaining knowledge and putting it to good use are important to you.,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,5
138,Gaining knowledge and putting it to good use are important to you.,You are also very sympathetic and understand the unspoken feelings and needs of others.,5
139,Gaining knowledge and putting it to good use are important to you.,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",5
140,Gaining knowledge and putting it to good use are important to you.,Security is very important to you and you look for it in your home and family life.,5
141,Gaining knowledge and putting it to good use are important to you.,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,5
142,Gaining knowledge and putting it to good use are important to you.,You are very tenacious and you do not give up or let go of things or people easily.,5
143,Gaining knowledge and putting it to good use are important to you.,Your mother is/was a strong influence for good or ill in your life.,5
144,Gaining knowledge and putting it to good use are important to you.,"You are basically an introvert, but will do whatever it takes to protect and defend your family or loved ones.",5
145,Gaining knowledge and putting it to good use are important to you.,You tend to be a pack-rat because everything has an emotional memory behind it and you find security in all those memories.,5
146,Gaining knowledge and putting it to good use are important to you.,Nothing or no one is ever gone if they leave their memory behind.,5
147,Gaining knowledge and putting it to good use are important to you.,"Thus, you can become quite possessive.",5
148,Gaining knowledge and putting it to good use are important to you.,"You have the memory of an elephant, but you must learn to forgive and forget past hurts.",5
149,Gaining knowledge and putting it to good use are important to you.,"If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind.",5
150,Gaining knowledge and putting it to good use are important to you.,"You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet.",2
151,Gaining knowledge and putting it to good use are important to you.,You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.,5
152,Gaining knowledge and putting it to good use are important to you.,Exercise is a good way to release this tension.,5
153,Gaining knowledge and putting it to good use are important to you.,"You are clever, witty, and always have a joke or comeback ready for any situation.",5
154,Gaining knowledge and putting it to good use are important to you.,You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.,4
155,Gaining knowledge and putting it to good use are important to you.,You are quick to grasp new concepts and equally quick to lose interest in an idea or project once your curiosity has been satisfied.,6
156,Gaining knowledge and putting it to good use are important to you.,You like to taste a little bit of everything – concentration and disciplined study are not your strong points.,5
157,Gaining knowledge and putting it to good use are important to you.,You are handy with your hands and may be ambidextrous or mechanically inclined.,5
158,Gaining knowledge and putting it to good use are important to you.,Debate and argument appeal to you.,5
159,Gaining knowledge and putting it to good use are important to you.,There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.,5
160,Gaining knowledge and putting it to good use are important to you.,"This is the jack-of-all-trades, master-of-none position.",5
161,Gaining knowledge and putting it to good use are important to you.,"There is danger, then, of superficiality.",5
162,Gaining knowledge and putting it to good use are important to you.,"Control of thought, word, and action is necessary in order to be successful.",4
163,Gaining knowledge and putting it to good use are important to you.,"Find your focus, stay with it and develop perseverance.",5
164,Gaining knowledge and putting it to good use are important to you.,"Journalism, speaking, teaching, sales, advertising, or writing may appeal to you.",2
165,Gaining knowledge and putting it to good use are important to you.,"Mentally restless, you may change jobs or locations frequently, or do work that involves movement, travel, and variety.",5
166,Gaining knowledge and putting it to good use are important to you.,You grasp concepts easily and may become impatient with those who don't learn as quickly.,5
167,Gaining knowledge and putting it to good use are important to you.,"If you have Venus in Taurus, in love affairs you are generally loyal and steady, especially if your partner is demonstrative and affectionate.",5
168,Gaining knowledge and putting it to good use are important to you.,You are oriented towards the sensual side of life in everything you do and it may show through too much weight.,5
169,Gaining knowledge and putting it to good use are important to you.,"You are tremendously responsive to beauty and physical appearances, and the physical attractiveness of your partner is very important to you.",5
170,Gaining knowledge and putting it to good use are important to you.,You enjoy indulging yourself and the ones you love and it is too easy for you to be extravagant and perhaps to put too much value in material things.,5
171,Gaining knowledge and putting it to good use are important to you.,Comfort is important to you and you hate getting your hands dirty.,5
172,Gaining knowledge and putting it to good use are important to you.,"At times you can be lazy, hoping or expecting someone else to do the dirty work.",5
173,Gaining knowledge and putting it to good use are important to you.,"Self-control needs to be developed and added to the qualifications you already possess -warmth, charm, sympathy, artistic.",5
174,Gaining knowledge and putting it to good use are important to you.,"Guard against possessiveness, jealousy, and taking the easy way out in your relationships.",5
175,Gaining knowledge and putting it to good use are important to you.,You aim to please in practical and earthy ways.,5
176,Gaining knowledge and putting it to good use are important to you.,More about,5
177,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,"At times others can never be ""good"" enough to meet those high standards.",1
178,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,Finding fault with what's wrong with things is your forte.,1
179,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,"Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do.",1
180,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,Pessimism and being too self-critical are two faults you should try to improve upon.,2
181,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,"You may tend to worry too much, especially about the small stuff, the little details.",1
182,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,Too much worry can lead to health problems.,4
183,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,"You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.",2
184,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,You need to get rid of any negativity that stems from a feeling of inadequacy.,3
185,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,"You tend to look younger than you really are, no matter what your age.",5
186,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,"You are very restless and nervous, so you seldom have much weight on you.",5
187,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,At times you can be very indecisive and unsure.,5
188,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,"If you have the Moon in Cancer, you very easily respond to the emotional environment in which you are placed.",5
189,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,You soak up feelings like a sponge.,5
190,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,"Perhaps this is why you so easily become moody, irritable and inconstant in thought and feeling.",5
191,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,"Learning to control your own moods may be very difficult, yet necessary, for you.",5
192,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,Your greatest need is to nurture and mother someone or ones.,4
193,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,You often appear irrational to others because you can't always explain the reason or source of your feelings.,5
194,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,5
195,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,You are also very sympathetic and understand the unspoken feelings and needs of others.,6
196,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",3
197,You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.,Security is very important to you and you look for it in your home and family life.,5
